sekermiktari,yas,cinsiyet,sinirlilik
10.854,14.928,1,0.853
1.130,1.995,0,0.250
10.473,7.169,1,0.423
3.468,14.876,0,0.464
28.352,1.049,1,0.883
10.186,11.822,0,0.598
20.776,14.660,0,0.864
28.011,14.260,0,0.883
3.083,15.110,0,0.465
19.286,15.432,1,0.857
1.420,3.212,1,0.466
11.708,3.595,0,0.460
4.680,1.066,0,0.250
0.164,1.832,0,0.250
14.870,9.551,1,0.704
12.004,5.440,1,0.461
15.802,15.392,0,0.650
20.661,2.746,1,0.864
14.500,0.030,1,0.650
20.914,12.259,0,0.865
19.224,1.975,0,0.558
25.795,12.269,0,0.883
5.458,6.458,0,0.088
22.728,9.823,1,0.833
8.869,8.886,0,0.095
7.823,9.336,1,0.414
20.497,9.346,1,0.735
13.101,5.320,1,0.464
24.278,9.084,0,0.503
3.637,9.783,1,0.575
28.011,8.794,1,0.650
19.053,12.385,0,0.743
11.098,3.486,0,0.458
15.067,15.411,1,0.883
19.639,5.391,1,0.604
0.390,10.556,0,0.461
3.319,8.702,0,0.092
10.420,7.121,0,0.234
28.705,6.105,0,0.467
9.166,12.940,0,0.480
18.228,0.361,1,0.667
27.034,13.175,1,0.883
20.523,13.812,1,0.863
23.565,5.692,1,0.650
13.678,5.708,0,0.250
0.609,0.686,0,0.250
6.036,1.104,0,0.250
5.623,14.081,1,0.650
27.202,1.858,0,0.650
22.938,4.373,0,0.576
26.812,2.570,1,0.883
6.851,3.350,0,0.250
29.873,0.577,0,0.650
18.301,0.627,1,0.673
25.382,0.426,1,0.883
6.213,4.665,1,0.320
8.655,1.020,0,0.250
17.921,3.344,0,0.459
9.157,8.087,0,0.124
29.212,2.600,0,0.650
2.247,14.896,0,0.466
21.486,14.537,1,0.868
20.445,15.015,1,0.862
13.798,11.625,0,0.650
7.076,0.762,1,0.458
4.704,8.211,1,0.250
1.675,2.328,1,0.466
16.283,15.035,1,0.876
26.083,8.541,0,0.458
19.431,8.590,0,0.383
24.038,12.760,0,0.879
1.954,7.779,0,0.087
9.158,15.093,0,0.479
20.101,2.908,0,0.650
25.115,3.499,1,0.876
17.994,3.430,1,0.650
5.353,10.224,0,0.459
21.435,7.252,0,0.461
25.238,11.199,1,0.875
29.034,4.724,0,0.513
15.236,5.557,1,0.465
1.963,7.187,0,0.083
2.592,14.454,1,0.650
15.129,3.684,1,0.650
2.655,6.215,0,0.082
17.301,12.430,1,0.869
10.381,3.828,1,0.612
21.268,11.754,1,0.866
6.633,11.447,1,0.650
2.889,0.833,1,0.465
28.421,10.878,0,0.872
23.353,15.890,1,0.876
22.760,11.621,0,0.874
6.752,5.196,0,0.090
21.742,3.719,0,0.650
25.701,8.166,1,0.650
13.049,14.132,1,0.873
27.429,11.789,0,0.881
16.245,11.760,0,0.650
25.829,8.024,0,0.461
11.471,4.674,0,0.318
16.460,2.017,0,0.464
20.135,2.900,0,0.650
26.166,9.184,1,0.696
28.853,6.181,0,0.467
29.642,15.918,0,0.883
19.139,15.639,0,0.753
5.219,15.855,1,0.650
14.203,13.069,0,0.650
29.634,12.634,0,0.883
25.861,5.111,0,0.462
20.010,9.149,1,0.687
25.382,2.812,0,0.650
7.641,12.650,0,0.457
11.939,13.520,0,0.650
2.786,13.366,1,0.650
29.890,10.463,0,0.867
13.934,12.565,1,0.878
6.726,5.293,0,0.090
0.067,3.471,1,0.465
17.933,8.480,1,0.459
1.253,11.770,0,0.466
14.393,1.360,1,0.650
26.412,9.068,1,0.667
15.395,2.829,0,0.466
19.114,11.403,0,0.750
1.921,13.331,1,0.650
5.313,15.286,1,0.650
1.228,3.304,0,0.250
18.092,12.135,0,0.657
13.162,15.439,0,0.650
0.605,7.272,1,0.250
13.647,6.429,0,0.250
16.008,0.913,0,0.466
26.705,8.299,0,0.460
4.723,11.595,0,0.462
15.644,2.297,0,0.466
2.193,13.095,0,0.466
0.972,14.902,1,0.650
20.056,3.490,0,0.650
25.206,5.764,1,0.650
23.457,12.132,0,0.877
24.790,6.660,1,0.650
12.216,11.094,1,0.869
28.418,5.252,0,0.463
7.912,9.934,1,0.625
22.442,9.204,1,0.701
3.949,11.798,1,0.650
7.866,6.919,1,0.250
29.414,2.506,0,0.650
3.357,1.566,0,0.250
6.015,9.775,0,0.405
19.438,12.421,0,0.788
0.008,9.657,1,0.531
18.339,14.150,1,0.862
11.076,1.128,1,0.650
22.254,1.308,1,0.871
6.763,8.306,1,0.250
9.453,12.601,1,0.720
3.479,12.775,0,0.464
10.049,14.963,1,0.792
18.773,10.950,0,0.714
3.072,2.673,1,0.465
15.830,11.100,0,0.650
3.170,2.913,1,0.465
13.434,6.378,1,0.465
16.418,4.036,1,0.642
22.317,13.834,1,0.871
15.546,3.497,1,0.650
26.656,6.183,1,0.650
24.331,11.429,0,0.878
12.373,10.135,1,0.863
26.652,6.656,1,0.650
0.075,8.502,0,0.091
4.724,0.850,0,0.250
11.152,15.121,1,0.863
17.731,12.858,1,0.866
20.139,15.809,1,0.861
8.745,3.783,0,0.250
18.682,1.242,1,0.706
11.375,0.663,1,0.650
26.943,13.460,1,0.883
3.323,3.467,0,0.250
16.658,10.081,0,0.650
13.035,4.558,0,0.341
27.596,4.557,1,0.747
13.367,5.657,1,0.465
23.756,2.015,0,0.650
10.152,10.729,1,0.802
4.746,6.098,1,0.250
15.270,10.396,1,0.866
0.928,12.328,1,0.650
24.282,4.223,1,0.819
20.538,6.308,1,0.650
19.660,15.219,0,0.816
0.057,8.995,0,0.094
2.770,9.376,0,0.289
1.927,11.525,1,0.650
14.927,10.620,0,0.650
11.362,0.524,1,0.650
0.167,7.633,1,0.250
12.019,12.588,0,0.650
24.464,0.303,1,0.881
29.225,14.727,1,0.883
5.434,8.484,0,0.091
13.354,5.774,1,0.465
3.633,12.815,1,0.650
6.144,6.554,0,0.089
5.976,9.818,1,0.586
11.982,6.091,0,0.250
11.149,10.924,1,0.863
2.259,10.451,0,0.461
14.466,13.536,1,0.881
22.483,4.073,0,0.634
16.121,12.174,0,0.650
11.417,14.216,0,0.650
